Teacher,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday
MMR,,8:30am-11:30am;2:00pm-5:00pm,,8:30am-11:30am;2:00pm-5:00pm,9:00am-12:0pm;2:00pm-5:00pm,9:00am-12:0pm;2:00pm-5:00pm,
AI,,8:30am-1:00pm;2:00pm-5:00pm,8:30am-1:00pm,8:30am-1:00pm;2:00pm-5:00pm,8:30am-1:00pm,2:00pm-5:00pm,
MSR,,8:30am-1:00pm,2:00pm-5:00pm,8:30am-11:30am;2:00pm-5:00pm,,9:00am-12:0pm;2:00pm-5:00pm,
JK,,2:00pm-5:00pm,8:30am-11:30am;2:00pm-5:00pm,8:30am-11:30am;2:00pm-5:00pm,8:30am-1:00pm,8:30am-11:30am;2:00pm-5:00pm,
